Interface,Switch,Instant Input Power
CHY-04-ACC,-3.1,TenGigabitEthernet1/1/1
CHY-04-ACC,-3.3,TenGigabitEthernet3/1/1
CHY-05-ACC,-2.9,TenGigabitEthernet1/1/1
CHY-05-ACC,-3.9,TenGigabitEthernet4/1/1
-3.9,CoreLab-1F,TenGigabitEthernet1/1/1
-40.0,CoreLab-1F,TenGigabitEthernet2/1/1
CoreLab-2F,-3.1,TenGigabitEthernet1/1/1
CoreLab-2F,TenGigabitEthernet1/1/2,-40.0
CoreLab-GF,-2.7,TenGigabitEthernet1/1/1
-4.3,CoreLab-GF,TenGigabitEthernet3/1/1
DoD-Z1-GF,-1.2,TenGigabitEthernet1/1/1
DoD-Z1-GF,TenGigabitEthernet5/1/1,-1.3
DoD-Z2-GF,-3.2,TenGigabitEthernet1/1/1
DoD-Z2-GF,TenGigabitEthernet1/1/2,-1.5
-10.4,DoD-Z3-GF,TenGigabitEthernet1/1/1
TenGigabitEthernet3/1/1,-3.7,DoD-Z3-GF
DoD-Z5-1F,-13.1,TenGigabitEthernet1/1/1
DoD-Z5-1F,-15.4,TenGigabitEthernet3/1/1
DoD-Z6-2F,-2.6,TenGigabitEthernet1/1/1
DoD-Z6-2F,-3.1,TenGigabitEthernet3/1/1
DoD-Z7-1F,-7.8,TenGigabitEthernet1/1/1
DoD-Z7-1F,-0.4,TenGigabitEthernet1/1/2
DoD-Z8-2F,-2.0,TenGigabitEthernet1/1/1
DoD-Z8-2F,-4.4,TenGigabitEthernet3/1/1
DoD-Z9-3F,-6.0,TenGigabitEthernet1/1/1
DoD-Z9-3F,-4.5,TenGigabitEthernet2/1/1
-16.1,Hospital-1F,TenGigabitEthernet1/1/1
IGH- R1-1F,-4.4,TenGigabitEthernet1/1/1
IGH- R1-1F,-3.5,TenGigabitEthernet2/1/1
IGH- R1-2F,-4.9,TenGigabitEthernet1/1/1
-40.0,IGH- R1-2F,TenGigabitEthernet2/1/1
-3.7,IGH- R1-3F,TenGigabitEthernet1/1/1
-40.0,IGH- R1-3F,TenGigabitEthernet2/1/1
IGH- R1-4F,-18.1,TenGigabitEthernet1/1/1
IGH- R1-4F,TenGigabitEthernet1/1/2,-40.0
-3.3,IGH- R1-5F,TenGigabitEthernet1/1/1
-3.0,IGH- R1-5F,TenGigabitEthernet1/1/2
IGH- R1-GF,-3.0,TenGigabitEthernet1/1/1
-7.2,IGH- R1-GF,TenGigabitEthernet1/1/2
IGH- R2-1F,-4.7,TenGigabitEthernet1/1/1
IGH- R2-1F,-5.2,TenGigabitEthernet1/1/2
IGH- R2-2F,-3.2,TenGigabitEthernet1/1/1
-7.2,IGH- R2-2F,TenGigabitEthernet2/1/1
-0.7,IGH- R2-3F,TenGigabitEthernet1/1/2
IGH- R2-4F,-3.2,TenGigabitEthernet1/1/1
-0.6,IGH- R2-4F,TenGigabitEthernet1/1/2
IGH- R2-5F,-3.8,TenGigabitEthernet1/1/1
IGH- R2-5F,-0.6,TenGigabitEthernet1/1/2
-4.2,IGH- R2-GF,TenGigabitEthernet1/1/1
-3.1,IGH- R2-GF,TenGigabitEthernet2/1/1
-3.3,IGH- R3-1F,TenGigabitEthernet1/1/1
-8.7,TenGigabitEthernet1/1/2,IGH- R3-1F
IGH- R3-2F,-3.5,TenGigabitEthernet1/1/1
-7.4,IGH- R3-2F,TenGigabitEthernet1/1/2
IGH- R3-3F,-3.9,TenGigabitEthernet1/1/1
IGH- R3-3F,TenGigabitEthernet1/1/2,-9.4
IGH- R3-4F,-3.6,TenGigabitEthernet1/1/1
IGH- R3-4F,-3.9,TenGigabitEthernet1/1/2
IGH- R3-GF,-4.3,TenGigabitEthernet1/1/1
IGH- R3-GF,-21.2,TenGigabitEthernet1/1/2
IGH- R4-1F,-3.0,TenGigabitEthernet1/1/1
IGH- R4-1F,-3.8,TenGigabitEthernet1/1/2
IGH- R4-2F,-4.4,TenGigabitEthernet1/1/1
IGH- R4-2F,-3.1,TenGigabitEthernet1/1/2
IGH- R4-3F,-5.5,TenGigabitEthernet1/1/1
IGH- R4-3F,-3.0,TenGigabitEthernet1/1/2
IGH- R4-4F,-5.1,TenGigabitEthernet1/1/1
IGH- R4-4F,-3.0,TenGigabitEthernet1/1/2
IGH- R4-GF,-2.7,TenGigabitEthernet1/1/1
IGH- R4-GF,-3.2,TenGigabitEthernet1/1/2
KNC-R1-00,-2.6,TenGigabitEthernet1/1/1
KNC-R1-00,-5.7,TenGigabitEthernet2/1/1
-40.0,KNC-R1-01,TenGigabitEthernet1/1/1
KNC-R1-01,-3.3,TenGigabitEthernet1/1/2
KNC-R1-02,-3.2,TenGigabitEthernet1/1/1
KNC-R1-02,-6.5,TenGigabitEthernet2/1/1
-5.1,KNC-R1-03,TenGigabitEthernet1/1/1
-5.0,KNC-R1-03,TenGigabitEthernet2/1/1
KNC-R2-00,-4.1,TenGigabitEthernet1/1/1
KNC-R2-00,-3.5,TenGigabitEthernet1/1/2
KNC-R2-02,-3.2,TenGigabitEthernet1/1/1
KNC-R2-02,-3.6,TenGigabitEthernet2/1/1
-3.1,KNC-R2-03,TenGigabitEthernet1/1/1
-3.4,KNC-R2-03,TenGigabitEthernet2/1/1
LH-Part 1-LGF,-2.8,TenGigabitEthernet1/1/1
LH-Part 1-LGF,-0.8,TenGigabitEthernet2/1/1
LH-Part 1-UGF,-6.8,TenGigabitEthernet1/1/1
LH-Part 1-UGF,-1.8,TenGigabitEthernet2/1/1
LH-Part 3-UGF,-4.8,TenGigabitEthernet1/1/1
LH-Part 3-UGF,TenGigabitEthernet4/1/1,-1.9
-5.2,MSH-North-SW,TenGigabitEthernet1/1/1
-4.5,MSH-North-SW,TenGigabitEthernet2/1/1
-3.8,TenGigabitEthernet1/1/1,MSH-South-SW
-100.0,TenGigabitEthernet1/1/2,MSH-South-SW
TenGigabitEthernet1/1/2,-4.2,MSME-2F-SW
TenGigabitEthernet3/1/2,-3.7,MSME-2F-SW
MSME-3F-SW,-5.1,TenGigabitEthernet1/1/1
-40.0,MSME-3F-SW,TenGigabitEthernet3/1/1
-8.7,MSME-4F-SW,TenGigabitEthernet1/1/2
-12.6,MSME-4F-SW,TenGigabitEthernet3/1/2
-8.1,MSME-GF-SW,TenGigabitEthernet1/1/1
MSME-GF-SW,-5.9,TenGigabitEthernet2/1/1
-5.2,NewDH-SW,TenGigabitEthernet1/1/1
-40.0,NewDH-SW,TenGigabitEthernet1/1/2
RCC-R1-1F,-3.7,TenGigabitEthernet1/1/1
RCC-R1-1F,-5.2,TenGigabitEthernet1/1/2
RCC-R1-2F,-2.1,TenGigabitEthernet1/1/1
RCC-R1-2F,-40.0,TenGigabitEthernet2/1/1
-2.2,TenGigabitEthernet1/1/1,RCC-R1-3F
-40.0,TenGigabitEthernet1/1/2,RCC-R1-3F
-3.0,RCC-R1-4F,TenGigabitEthernet1/1/1
TenGigabitEthernet1/1/2,RCC-R1-4F,-9.0
-2.0,RCC-R1-GF,TenGigabitEthernet1/1/1
-2.5,RCC-R1-GF,TenGigabitEthernet2/1/1
RCC-R2-2F,-3.0,TenGigabitEthernet1/1/1
RCC-R2-2F,-4.2,TenGigabitEthernet2/1/1
RCC-R2-3F,-2.6,TenGigabitEthernet1/1/1
RCC-R2-4F,-2.7,TenGigabitEthernet1/1/1
RCC-R2-4F,-3.8,TenGigabitEthernet2/1/1
RCC-R2-GF,-3.7,TenGigabitEthernet1/1/1
RCC-R2-GF,-4.9,TenGigabitEthernet1/1/2
-3.6,TenGigabitEthernet1/1/1,SNCC-1F-R1
-4.3,TenGigabitEthernet1/1/2,SNCC-1F-R1
-4.3,TenGigabitEthernet1/1/1,SNCC-1F-R2
-3.6,TenGigabitEthernet1/1/2,SNCC-1F-R2
-3.6,TenGigabitEthernet1/1/1,SNCC-GF-R1
TenGigabitEthernet2/1/1,-2.1,SNCC-GF-R1
SNCC-GF-R2,-4.2,TenGigabitEthernet1/1/1
-40.0,SNCC-GF-R2,TenGigabitEthernet2/1/1
-40.0,SNCC-GF-R3,TenGigabitEthernet1/1/1
-2.9,SNCC-GF-R3,TenGigabitEthernet1/1/2
-3.0,TenGigabitEthernet1/1/1,SNCC-GF-R4
-3.2,TenGigabitEthernet1/1/2,SNCC-GF-R4
-3.4,SNCC-GF-R5,TenGigabitEthernet1/1/1
-3.5,SNCC-GF-R5,TenGigabitEthernet1/1/2
SNCC-GF-R6,-3.3,TenGigabitEthernet1/1/1
SNCC-GF-R6,-7.0,TenGigabitEthernet1/1/2
TIP-A wing-1F,-4.1,TenGigabitEthernet1/1/1
-40.0,TIP-A wing-1F,TenGigabitEthernet2/1/1
TIP-A wing-2F,-4.8,TenGigabitEthernet1/1/1
TIP-A wing-3F,-3.1,TenGigabitEthernet1/1/1
TIP-A wing-3F,TenGigabitEthernet1/1/2,-40.0
-7.2,TIP-A wing-4F,TenGigabitEthernet1/1/1
-40.0,TenGigabitEthernet1/1/2,TIP-A wing-4F
TIP-A wing-GF,-2.4,TenGigabitEthernet1/1/1
TIP-A wing-GF,-3.1,TenGigabitEthernet2/1/1
-3.9,TIP-B wing-1F,TenGigabitEthernet1/1/1
-40.0,TIP-B wing-1F,TenGigabitEthernet2/1/1
TIP-B wing-2F,-5.1,TenGigabitEthernet1/1/1
-24.1,TIP-B wing-2F,TenGigabitEthernet1/1/2
TIP-B wing-3F,-4.7,TenGigabitEthernet1/1/1
-22.9,TIP-B wing-3F,TenGigabitEthernet1/1/2
TIP-B wing-4F,-3.6,TenGigabitEthernet1/1/1
-40.0,TIP-B wing-4F,TenGigabitEthernet1/1/2
TIP-B wing-5F,-7.3,TenGigabitEthernet1/1/1
-40.0,TIP-B wing-5F,TenGigabitEthernet1/1/2
-2.7,TIP-B wing-GF,TenGigabitEthernet1/1/1
-3.6,TIP-B wing-GF,TenGigabitEthernet2/1/1
