Generated on: 2024-12-24 15:57:57
Interface,Switch,Instant Input Power
TenGigabitEthernet1/1/1,BT-2F,-2.0
TenGigabitEthernet3/1/1,BT-2F,-2.5
TenGigabitEthernet1/1/1,BT-3F,-1.1
TenGigabitEthernet3/1/1,BT-3F,-3.9
Te1/0/1,BT-Dist-SW,-3.3
Te1/0/2,BT-Dist-SW,-4.7
Te1/0/3,BT-Dist-SW,-5.0
Te1/0/4,BT-Dist-SW,-0.8
Te1/0/5,BT-Dist-SW,-1.6
Te1/0/6,BT-Dist-SW,-4.5
Te1/0/7,BT-Dist-SW,-4.2
Te1/0/8,BT-Dist-SW,-3.7
Te1/0/9,BT-Dist-SW,-3.8
Te1/0/13,BT-Dist-SW,-1.2
Te1/0/14,BT-Dist-SW,-3.0
Te1/0/15,BT-Dist-SW,-3.9
Te1/0/16,BT-Dist-SW,-4.4
Te2/0/1,BT-Dist-SW,-3.6
Te2/0/2,BT-Dist-SW,-3.9
Te2/0/3,BT-Dist-SW,-5.0
Te2/0/4,BT-Dist-SW,-1.8
Te2/0/5,BT-Dist-SW,-3.2
Te2/0/6,BT-Dist-SW,-13.6
Te2/0/7,BT-Dist-SW,-3.0
Te2/0/8,BT-Dist-SW,-7.2
Te2/0/9,BT-Dist-SW,-5.1
Te2/0/13,BT-Dist-SW,-2.6
Te2/0/14,BT-Dist-SW,-1.2
Te2/0/15,BT-Dist-SW,-2.1
Te2/0/16,BT-Dist-SW,-9.9
TenGigabitEthernet1/1/1,BT-GF,-1.3
TenGigabitEthernet4/1/1,BT-GF,-2.0
TenGigabitEthernet1/1/1,BTBM-4F,-3.4
TenGigabitEthernet2/1/1,BTBM-4F,-1.4
TenGigabitEthernet1/1/1,CAMPUS-SCHOOL-2F,-4.2
TenGigabitEthernet2/1/1,CAMPUS-SCHOOL-2F,-40.0
TenGigabitEthernet1/1/1,CAMPUS-SCHOOL-GF,-6.3
TenGigabitEthernet2/1/1,CAMPUS-SCHOOL-GF,-3.3
Te1/0/1,CC-Dist-SW,-2.7
Te1/0/2,CC-Dist-SW,-7.2
Te1/0/3,CC-Dist-SW,-6.7
Te1/0/4,CC-Dist-SW,-12.4
Te1/0/5,CC-Dist-SW,-3.8
Te1/0/6,CC-Dist-SW,-4.2
Te1/0/7,CC-Dist-SW,-4.4
Te1/0/8,CC-Dist-SW,-7.1
Te1/0/9,CC-Dist-SW,-9.1
Te1/0/10,CC-Dist-SW,-7.0
Te1/0/11,CC-Dist-SW,-3.5
Te1/0/15,CC-Dist-SW,-2.6
Te1/0/16,CC-Dist-SW,-40.0
Te2/0/1,CC-Dist-SW,-2.6
Te2/0/2,CC-Dist-SW,-14.1
Te2/0/3,CC-Dist-SW,-12.8
Te2/0/4,CC-Dist-SW,-40.0
Te2/0/5,CC-Dist-SW,-5.5
Te2/0/6,CC-Dist-SW,-6.4
Te2/0/7,CC-Dist-SW,-4.5
Te2/0/8,CC-Dist-SW,-3.1
Te2/0/9,CC-Dist-SW,-12.8
Te2/0/10,CC-Dist-SW,-10.0
Te2/0/11,CC-Dist-SW,-3.4
Te2/0/15,CC-Dist-SW,-3.5
Te2/0/16,CC-Dist-SW,-4.5
TenGigabitEthernet1/1/1,CC-R1-00,-7.1
TenGigabitEthernet1/1/2,CC-R1-00,-3.3
TenGigabitEthernet1/1/1,CC-R1-02,-40.0
TenGigabitEthernet1/1/2,CC-R1-02,-16.6
TenGigabitEthernet1/1/1,CC-R2-00,-3.7
TenGigabitEthernet1/1/2,CC-R2-00,-4.4
TenGigabitEthernet1/1/1,CC-R2-02,-3.9
TenGigabitEthernet1/1/2,CC-R2-02,-3.3
TenGigabitEthernet1/1/1,CC-R3-00,-3.8
TenGigabitEthernet2/1/1,CC-R3-00,-7.6
TenGigabitEthernet1/1/1,CC-R3-02,-4.4
TenGigabitEthernet1/1/2,CC-R3-02,-7.4
TenGigabitEthernet1/1/1,CC-R4-00,-6.4
TenGigabitEthernet2/1/1,CC-R4-00,-4.1
