Interface,Switch,Instant Input Power
Te1/0/16,MSME-Dist-SW,-13.4
Te2/0/1,MSME-Dist-SW,-4.9
Te2/0/2,MSME-Dist-SW,-8.7
Te2/0/3,MSME-Dist-SW,-9.1
Te2/0/4,MSME-Dist-SW,-8.1
Te2/0/5,MSME-Dist-SW,-9.1
Te2/0/15,MSME-Dist-SW,-2.3
Te1/0/1,RCC-Dist-SW,-2.1
Te1/0/2,RCC-Dist-SW,-3.3
Te1/0/3,RCC-Dist-SW,-4.2
Te1/0/4,RCC-Dist-SW,-3.3
Te1/0/5,RCC-Dist-SW,-2.7
Te1/0/6,RCC-Dist-SW,-2.8
Te1/0/7,RCC-Dist-SW,-3.0
Te1/0/8,RCC-Dist-SW,-3.4
Te1/0/9,RCC-Dist-SW,-3.4
Te1/0/15,RCC-Dist-SW,-6.8
Te1/0/16,RCC-Dist-SW,-4.1
Te2/0/1,RCC-Dist-SW,-2.7
Te2/0/2,RCC-Dist-SW,-4.3
Te2/0/3,RCC-Dist-SW,-40.0
Te2/0/4,RCC-Dist-SW,-40.0
Te2/0/5,RCC-Dist-SW,-4.4
Te2/0/6,RCC-Dist-SW,-40.0
Te2/0/7,RCC-Dist-SW,-5.7
Te2/0/8,RCC-Dist-SW,-40.0
Te2/0/9,RCC-Dist-SW,-6.7
Te2/0/15,RCC-Dist-SW,-7.3
Te2/0/16,RCC-Dist-SW,-40.0
Te1/0/1,SNCC-Dist-SW,-2.1
Te1/0/2,SNCC-Dist-SW,-5.8
Te1/0/3,SNCC-Dist-SW,-23.1
Te1/0/4,SNCC-Dist-SW,-3.0
Te1/0/5,SNCC-Dist-SW,-3.4
Te1/0/6,SNCC-Dist-SW,-7.2
Te1/0/7,SNCC-Dist-SW,-6.2
Te1/0/8,SNCC-Dist-SW,-3.8
Te1/0/9,SNCC-Dist-SW,-4.3
Te1/0/15,SNCC-Dist-SW,-40.0
Te1/0/16,SNCC-Dist-SW,-6.3
Te2/0/1,SNCC-Dist-SW,-2.6
Te2/0/2,SNCC-Dist-SW,-40.0
Te2/0/3,SNCC-Dist-SW,-3.7
Te2/0/4,SNCC-Dist-SW,-3.6
Te2/0/5,SNCC-Dist-SW,-2.8
Te2/0/6,SNCC-Dist-SW,-3.4
Te2/0/7,SNCC-Dist-SW,-3.5
Te2/0/8,SNCC-Dist-SW,-5.8
Te2/0/9,SNCC-Dist-SW,-3.1
Te2/0/15,SNCC-Dist-SW,-2.7
Te2/0/16,SNCC-Dist-SW,-40.0
Te1/0/1,TIP-Dist-SW,-2.8
Te1/0/2,TIP-Dist-SW,-2.6
Te1/0/3,TIP-Dist-SW,-3.2
Te1/0/4,TIP-Dist-SW,-6.2
Te1/0/5,TIP-Dist-SW,-13.3
Te1/0/6,TIP-Dist-SW,-5.2
Te1/0/7,TIP-Dist-SW,-4.2
Te1/0/8,TIP-Dist-SW,-3.3
Te1/0/10,TIP-Dist-SW,-15.3
Te1/0/11,TIP-Dist-SW,-4.3
Te1/0/15,TIP-Dist-SW,-5.9
Te1/0/16,TIP-Dist-SW,-5.0
Te2/0/1,TIP-Dist-SW,-3.8
Te2/0/2,TIP-Dist-SW,-3.8
Te2/0/3,TIP-Dist-SW,-40.0
Te2/0/4,TIP-Dist-SW,-40.0
Te2/0/5,TIP-Dist-SW,-40.0
Te2/0/6,TIP-Dist-SW,-40.0
Te2/0/7,TIP-Dist-SW,-40.0
Te2/0/8,TIP-Dist-SW,-40.0
Te2/0/9,TIP-Dist-SW,-40.0
Te2/0/10,TIP-Dist-SW,-40.0
Te2/0/15,TIP-Dist-SW,-2.9
