PoE Status,Serial Number,Description,Start Date,End Date,OEM,Location,Hostname,Name
Non PoE,FOC2651Y3AA,C9300L-24T-4X,2023-MAR-24,2026-MAR-24,Cisco,IGH- R2-GF,IGH- R2-GF,Switch 1
PoE,FOC2630Y2HX,C9300L-24P-4X,2023-MAR-24,2026-MAR-24,Cisco,IGH- R2-GF,IGH- R2-GF,Switch 2
PoE,FOC2630Y2L1,C9300L-24P-4X,2022-SEP-02,2025-SEP-02,Cisco,IGH- R3-1F,IGH- R3-1F,Switch 1
PoE,FOC2630Y2YF,C9300L-24P-4X,2022-SEP-02,2025-SEP-02,Cisco,IGH- R3-2F,IGH- R3-2F,Switch 1
PoE,FOC2630Y4MF,C9300L-24P-4X,2022-SEP-02,2025-SEP-02,Cisco,IGH- R3-3F,IGH- R3-3F,Switch 1
PoE,FOC2630Y4MC,C9300L-24P-4X,2022-SEP-02,2025-SEP-02,Cisco,IGH- R3-4F,IGH- R3-4F,Switch 1
PoE,FOC2630Y373,C9300L-24P-4X,2022-SEP-02,2025-SEP-02,Cisco,IGH- R3-GF,IGH- R3-GF,Switch 1
PoE,FOC2630Y2KZ,C9300L-24P-4X,2022-SEP-02,2025-SEP-02,Cisco,IGH- R4-1F,IGH- R4-1F,Switch 1
PoE,FOC2630Y2N5,C9300L-24P-4X,2022-SEP-02,2025-SEP-02,Cisco,IGH- R4-2F,IGH- R4-2F,Switch 1
PoE,FOC2630Y6XQ,C9300L-24P-4X,2022-SEP-02,2025-SEP-02,Cisco,IGH- R4-3F,IGH- R4-3F,Switch 1
PoE,FOC2630Y2GG,C9300L-24P-4X,2022-SEP-02,2025-SEP-02,Cisco,IGH- R4-4F,IGH- R4-4F,Switch 1
PoE,FOC2630Y440,C9300L-24P-4X,2022-SEP-02,2025-SEP-02,Cisco,IGH- R4-GF,IGH- R4-GF,Switch 1
Non PoE,FOC2629Y5SN,C9500-40X,2023-MAR-20,2026-MAR-20,Cisco,IGH-Dist-SW,IGH-Dist-SW,Switch 1
Non PoE,FOC2629YHRW,C9500-40X,2023-MAR-20,2026-MAR-20,Cisco,IGH-Dist-SW,IGH-Dist-SW,Switch 2
Non PoE,FOC2638YFEQ,C9500-16X,2023-MAR-20,2026-MAR-20,Cisco,KNC-Dist-SW,KNC-Dist-SW,Switch 1
Non PoE,FOC2639Y3B0,C9500-16X,2023-MAR-20,2026-MAR-20,Cisco,KNC-Dist-SW,KNC-Dist-SW,Switch 2
Non PoE,FOC2626YEL4,C9300L-48T-4X,2022-AUG-26,2025-AUG-26,Cisco,KNC-R1-00,KNC-R1-00,Switch 1
PoE,FOC2644Y9GB,C9300L-24P-4X,2022-AUG-26,2025-AUG-26,Cisco,KNC-R1-00,KNC-R1-00,Switch 2
PoE,FOC2644Y6Q5,C9300L-24P-4X,2023-MAR-20,2026-MAR-20,Cisco,KNC-R1-01,KNC-R1-01,Switch 1
Non PoE,FOC2650YDCA,C9300L-24T-4X,2023-MAR-24,2026-MAR-24,Cisco,KNC-R1-02,KNC-R1-02,Switch 1
PoE,FOC2644Y6PH,C9300L-24P-4X,2023-MAR-24,2026-MAR-24,Cisco,KNC-R1-02,KNC-R1-02,Switch 2
Non PoE,FOC2651Y5W8,C9300L-24T-4X,2023-MAR-24,2026-MAR-24,Cisco,KNC-R1-03,KNC-R1-03,Switch 1
PoE,FOC2644Y6AH,C9300L-24P-4X,2023-MAR-24,2026-MAR-24,Cisco,KNC-R1-03,KNC-R1-03,Switch 2
PoE,FOC2644Y9GC,C9300L-24P-4X,2023-MAR-20,2026-MAR-20,Cisco,KNC-R2-00,KNC-R2-00,Switch 1
Non PoE,FOC2651Y3QN,C9300L-24T-4X,2023-MAR-24,2026-MAR-24,Cisco,KNC-R2-02,KNC-R2-02,Switch 1
PoE,FOC2644Y6P3,C9300L-24P-4X,2023-MAR-24,2026-MAR-24,Cisco,KNC-R2-02,KNC-R2-02,Switch 2
Non PoE,FOC2651Y485,C9300L-24T-4X,2023-MAR-24,2026-MAR-24,Cisco,KNC-R2-03,KNC-R2-03,Switch 1
PoE,FOC2644Y6X0,C9300L-24P-4X,2023-MAR-24,2026-MAR-24,Cisco,KNC-R2-03,KNC-R2-03,Switch 2
Non PoE,FOC2639Y3NE,C9500-16X,2023-MAR-20,2026-MAR-20,Cisco,LH-Dist-SW,LH-Dist-SW,Switch 1
Non PoE,FJC27042MTN,C9500-16X,2023-MAR-20,2026-MAR-20,Cisco,LH-Dist-SW,LH-Dist-SW,Switch 2
PoE,FOC2630Y1Q0,C9300L-24P-4X,2022-SEP-02,2025-SEP-02,Cisco,LH-Part 1-LGF,LH-Part 1-LGF,Switch 1
PoE,FOC2714Y7MQ,C9300L-24P-4X,2022-SEP-02,2025-SEP-02,Cisco,LH-Part 1-LGF,LH-Part 1-LGF,Switch 2
PoE,FOC2630Y1C6,C9300L-24P-4X,2022-SEP-02,2025-SEP-02,Cisco,LH-Part 1-UGF,LH-Part 1-UGF,Switch 1
PoE,FOC2714Y8H9,C9300L-24P-4X,2022-SEP-02,2025-SEP-02,Cisco,LH-Part 1-UGF,LH-Part 1-UGF,Switch 2
PoE,FOC2630Y2GL,C9300L-24P-4X,2022-SEP-02,2025-SEP-02,Cisco,LH-Part 3-UGF,LH-Part 3-UGF,Switch 1
PoE,FOC2630Y26R,C9300L-24P-4X,2022-SEP-02,2025-SEP-02,Cisco,LH-Part 3-UGF,LH-Part 3-UGF,Switch 2
PoE,FOC2630Y2L7,C9300L-24P-4X,2022-SEP-02,2025-SEP-02,Cisco,LH-Part 3-UGF,LH-Part 3-UGF,Switch 3
PoE,FOC2630Y27B,C9300L-24P-4X,2022-SEP-02,2025-SEP-02,Cisco,LH-Part 3-UGF,LH-Part 3-UGF,Switch 4
PoE,FOC2714Y8H2,C9300L-24P-4X,-,-,Cisco,LH-Part 5-UGF,LH-Part 5-UGF,Switch 1
